ASIC_100k,99340.00,526789.00,5.30,25643.00,20.00,1552.19,13883.00,1.77,0.51,0.24,64.00
ASIC_100ks,99190.00,339040.00,3.42,206.00,1.84,3815.00,29984.00,1.92,0.54,0.39,26.00
ASIC_320k,321821.00,1478630.00,4.59,49054.00,21.95,3742.10,31594.00,1.74,0.15,0.18,86.00
ASIC_320ks,321671.00,1074739.00,3.34,412.00,2.27,9190.60,216568.00,3.94,0.25,0.25,35.00
ASIC_680k,682862.00,2277355.00,3.34,100649.00,49.18,11381.03,117606.00,1.75,0.07,0.28,60.00
ASIC_680ks,682712.00,1505944.00,2.21,210.00,1.72,13932.90,583515.00,5.91,0.10,0.13,49.00
Alemdar,6245.00,24413.00,3.91,10.00,0.61,312.25,1119.00,1.12,0.02,0.17,20.00
Andrews,60000.00,410077.00,6.83,34.00,0.59,1276.60,4526.00,0.83,0.01,0.15,47.00
Baumann,112211.00,436421.00,3.89,4.00,0.08,531.81,1081.00,0.62,0.92,0.29,211.00
BenElechi1,245874.00,6698185.00,27.24,30.00,0.09,42.73,62.00,0.33,1.00,0.09,5754.00
Bump_2911,2911419.00,65320660.00,22.44,66.00,0.17,283.38,58990.00,2.30,0.94,0.11,10274.00
CAG_mat1916,1916.00,108367.00,56.56,217.00,0.81,9.08,33.00,0.58,0.34,0.12,211.00
CAG_mat364,364.00,6568.00,18.04,59.00,0.70,7.74,17.00,0.52,0.37,0.21,47.00
CAG_mat72,72.00,591.00,8.21,18.00,0.59,2.48,6.00,0.52,0.53,0.08,29.00
CO,221119.00,3943588.00,17.83,159.00,0.23,1.02,492.00,1.07,0.99,0.00,216817.00
Chebyshev1,261.00,779.00,2.98,3.00,0.05,1.98,2.00,0.08,0.50,0.00,132.00
Chebyshev2,2053.00,6155.00,3.00,3.00,0.02,2.00,2.00,0.03,0.50,0.00,1028.00
Chebyshev3,4101.00,12299.00,3.00,3.00,0.01,2.00,2.00,0.02,0.50,0.00,2052.00
Chebyshev4,68121.00,1404561.00,20.62,524.00,3.03,3.91,4.00,0.11,0.50,0.00,17424.00
Chem97Zt,2541.00,4973.00,1.96,358.00,6.43,847.00,2518.00,1.40,0.00,0.00,3.00
Chem97ZtZ,2541.00,4951.00,1.95,101.00,2.95,1270.50,2410.00,0.90,0.00,0.00,2.00
Cities,55.00,983.00,17.87,38.00,0.53,1.96,7.00,0.70,0.57,0.04,28.00
CoupCons3D,416800.00,11369568.00,27.28,40.00,0.25,178.42,290.00,0.50,0.96,0.36,2336.00
Cube_Coup_dt0,2164760.00,64685452.00,29.88,52.00,0.12,99.17,418.00,0.75,0.95,0.15,21828.00
Cube_Coup_dt6,2164760.00,64685452.00,29.88,52.00,0.12,99.17,418.00,0.75,0.95,0.15,21828.00
CurlCurl_0,11083.00,62213.00,5.61,11.00,0.41,127.39,418.00,0.55,0.70,0.28,87.00
CurlCurl_1,226451.00,1349261.00,5.96,11.00,0.40,902.20,3150.00,0.63,0.69,0.31,251.00
CurlCurl_2,806529.00,4864159.00,6.03,11.00,0.40,2036.69,6174.00,0.63,0.69,0.34,396.00
CurlCurl_3,1219574.00,7382096.00,6.05,11.00,0.40,2583.84,6776.00,0.62,0.69,0.31,472.00
CurlCurl_4,2380515.00,14448191.00,6.07,11.00,0.39,4041.62,11325.00,0.63,0.69,0.33,589.00
DK01R,903.00,6412.00,7.10,11.00,0.43,1.75,5.00,0.56,0.59,0.15,517.00
D_10,460.00,1997.00,4.34,17.00,0.66,16.43,80.00,0.86,0.12,0.26,28.00
D_11,169.00,389.00,2.30,7.00,0.57,21.12,55.00,0.73,0.08,0.32,8.00
D_6,970.00,6228.00,6.42,14.00,0.37,37.31,172.00,0.99,0.04,0.16,26.00
D_7,1270.00,9787.00,7.71,19.00,0.39,35.28,97.00,0.70,0.04,0.09,36.00
D_8,1132.00,7826.00,6.91,19.00,0.46,26.95,52.00,0.50,0.07,0.08,42.00
D_9,815.00,4576.00,5.61,20.00,0.57,16.98,88.00,0.95,0.09,0.18,48.00
Delor295K,295734.00,462300.00,1.56,12.00,1.37,36966.75,272973.00,2.42,0.00,0.04,8.00
Delor338K,343236.00,1261826.00,3.68,28.00,1.38,34323.60,264161.00,2.26,0.00,0.08,10.00
Delor64K,64719.00,64719.00,1.00,1.00,0.00,64719.00,64719.00,0.00,0.00,0.00,1.00
Dubcova1,16129.00,134569.00,8.34,12.00,0.32,22.85,742.00,2.00,0.48,0.15,706.00
Dubcova2,65025.00,547625.00,8.42,12.00,0.32,39.79,3022.00,3.05,0.48,0.16,1634.00
Dubcova3,146689.00,1891669.00,12.90,18.00,0.27,44.91,3022.00,2.00,0.76,0.22,3266.00
EAT_RS,23219.00,192290.00,8.28,716.00,2.90,167.04,4969.00,2.65,0.05,0.22,139.00
EAT_SR,23219.00,179173.00,7.72,66.00,1.54,209.18,15200.00,6.83,0.04,0.21,111.00
EPA,4772.00,7138.00,1.50,60.00,1.46,795.33,3846.00,1.74,0.01,0.13,6.00
Emilia_923,923136.00,20964172.00,22.71,48.00,0.22,176.14,341.00,0.57,0.86,0.11,5241.00
Erdos02,6927.00,15399.00,2.22,508.00,2.80,494.79,1582.00,1.02,0.00,0.36,14.00
Erdos971,472.00,1786.00,3.78,34.00,1.13,19.67,154.00,1.58,0.05,0.20,24.00
Erdos972,5488.00,12573.00,2.29,28.00,0.61,343.00,1141.00,1.04,0.00,0.36,16.00
Erdos981,485.00,1866.00,3.85,35.00,1.13,20.21,157.00,1.56,0.05,0.20,24.00
Erdos982,5822.00,13197.00,2.27,29.00,0.62,323.44,1201.00,1.09,0.00,0.37,18.00
Erdos991,492.00,1909.00,3.88,37.00,1.14,20.50,158.00,1.56,0.06,0.20,24.00
Erdos992,6100.00,13615.00,2.23,30.00,0.62,338.89,1253.00,1.13,0.00,0.37,18.00
EternityII_A,7362.00,24564.00,3.34,766.00,6.38,460.12,5381.00,2.83,0.00,0.13,16.00
EternityII_E,11077.00,40147.00,3.62,1675.00,9.82,852.08,9295.00,2.87,0.00,0.13,13.00
EternityII_Etilde,10054.00,35123.00,3.49,901.00,8.39,914.00,8258.00,2.56,0.00,0.15,11.00
F1,343791.00,13590452.00,39.53,306.00,0.48,245.92,731.00,0.59,0.89,0.20,1398.00
F2,71505.00,2682895.00,37.52,200.00,0.54,63.90,325.00,0.77,0.88,0.24,1119.00
FA,10617.00,46635.00,4.39,27.00,1.15,286.95,5954.00,3.30,0.03,0.22,37.00
FEM_3D_thermal1,17880.00,224310.00,12.55,23.00,0.25,34.45,88.00,0.60,0.89,0.10,519.00
FEM_3D_thermal2,147900.00,1818600.00,12.30,23.00,0.20,39.37,89.00,0.62,0.87,0.01,3757.00
FX_March2010,1319.00,5030.00,3.81,48.00,1.12,26.38,557.00,2.93,0.06,0.42,50.00
Fault_639,638802.00,14626683.00,22.90,114.00,0.21,143.16,257.00,0.46,0.90,0.06,4462.00
Flan_1565,1564794.00,59485420.00,38.01,72.00,0.16,200.46,516.00,0.65,0.95,0.08,7806.00
Franz11,47104.00,312965.00,6.64,8.00,0.26,1427.39,11848.00,1.56,0.00,0.05,33.00
Franz2,4032.00,12480.00,3.10,9.00,0.57,252.00,954.00,1.06,0.01,0.17,16.00
Franz3,1280.00,3599.00,2.81,3.00,0.14,142.22,224.00,0.66,0.01,0.00,9.00
Franz4,6784.00,40553.00,5.98,8.00,0.29,173.95,711.00,0.92,0.01,0.07,39.00
Freescale1,3428755.00,11901587.00,3.47,27.00,0.76,12559.54,781358.00,6.41,0.48,0.27,273.00
FullChip,2987012.00,14804570.00,4.96,2425.00,0.38,9219.17,468405.00,5.87,0.42,0.34,324.00
G1,800.00,19976.00,24.97,62.00,0.58,9.52,17.00,0.31,0.17,0.04,84.00
G10,800.00,19976.00,24.97,61.00,0.58,9.41,21.00,0.36,0.18,0.03,85.00
G11,800.00,2400.00,3.00,5.00,0.17,7.48,8.00,0.20,0.89,0.04,107.00
G12,800.00,2400.00,3.00,5.00,0.14,12.31,16.00,0.40,0.94,0.12,65.00
G13,800.00,2400.00,3.00,5.00,0.13,14.29,25.00,0.54,0.97,0.29,56.00
G14,800.00,5494.00,6.87,7.00,0.07,21.62,69.00,1.04,0.08,0.15,37.00
G15,800.00,5461.00,6.83,7.00,0.07,21.62,75.00,1.06,0.07,0.18,37.00
G16,800.00,5472.00,6.84,7.00,0.07,22.86,81.00,1.06,0.07,0.16,35.00
G17,800.00,5467.00,6.83,7.00,0.07,22.22,78.00,1.12,0.07,0.18,36.00
G18,800.00,5494.00,6.87,7.00,0.07,21.62,69.00,1.04,0.08,0.15,37.00
G19,800.00,5461.00,6.83,7.00,0.07,21.62,75.00,1.06,0.07,0.18,37.00
G2,800.00,19976.00,24.97,64.00,0.58,8.89,16.00,0.37,0.18,0.04,90.00
G20,800.00,5472.00,6.84,7.00,0.07,22.86,81.00,1.06,0.07,0.16,35.00
G21,800.00,5467.00,6.83,7.00,0.07,22.22,78.00,1.12,0.07,0.18,36.00
G22,2000.00,21990.00,10.99,31.00,0.60,44.44,90.00,0.38,0.05,0.08,45.00
G23,2000.00,21990.00,10.99,32.00,0.60,48.78,102.00,0.34,0.04,0.08,41.00
G24,2000.00,21990.00,10.99,38.00,0.60,42.55,103.00,0.40,0.04,0.08,47.00
G25,2000.00,21990.00,10.99,32.00,0.60,38.46,82.00,0.42,0.05,0.08,52.00
G26,2000.00,21990.00,10.99,33.00,0.60,38.46,97.00,0.37,0.05,0.09,52.00
G27,2000.00,21990.00,10.99,31.00,0.60,44.44,90.00,0.38,0.05,0.08,45.00
G28,2000.00,21990.00,10.99,31.00,0.60,42.55,108.00,0.41,0.04,0.08,47.00
G29,2000.00,21990.00,10.99,38.00,0.60,42.55,103.00,0.40,0.04,0.08,47.00
G2_circuit,150102.00,438388.00,2.92,4.00,0.18,204.78,450.00,0.52,0.99,0.22,733.00
G3,800.00,19976.00,24.97,64.00,0.58,9.64,21.00,0.38,0.18,0.04,83.00
G30,2000.00,21990.00,10.99,32.00,0.60,38.46,82.00,0.42,0.05,0.08,52.00
G31,2000.00,21990.00,10.99,33.00,0.60,38.46,97.00,0.37,0.05,0.09,52.00
G32,2000.00,6000.00,3.00,5.00,0.12,16.81,20.00,0.33,0.95,0.09,119.00
G33,2000.00,6000.00,3.00,5.00,0.11,19.23,25.00,0.41,0.96,0.13,104.00
G34,2000.00,6000.00,3.00,5.00,0.10,22.47,40.00,0.55,0.98,0.24,89.00
G35,2000.00,13778.00,6.89,7.00,0.05,55.56,201.00,1.17,0.04,0.16,36.00
G36,2000.00,13766.00,6.88,7.00,0.06,51.28,186.00,1.15,0.04,0.16,39.00
G37,2000.00,13785.00,6.89,7.00,0.06,54.05,202.00,1.15,0.03,0.16,37.00
G38,2000.00,13779.00,6.89,7.00,0.06,54.05,193.00,1.15,0.04,0.16,37.00
G39,2000.00,13778.00,6.89,7.00,0.05,55.56,201.00,1.17,0.04,0.16,36.00
G3_circuit,1585478.00,4623152.00,2.92,4.00,0.18,611.21,1690.00,0.61,0.99,0.20,2594.00
G4,800.00,19976.00,24.97,76.00,0.58,9.20,15.00,0.31,0.19,0.04,87.00
G40,2000.00,13766.00,6.88,7.00,0.06,51.28,186.00,1.15,0.04,0.16,39.00
G41,2000.00,13785.00,6.89,7.00,0.06,54.05,202.00,1.15,0.03,0.16,37.00
G42,2000.00,13779.00,6.89,7.00,0.06,54.05,193.00,1.15,0.04,0.16,37.00
G43,1000.00,10990.00,10.99,30.00,0.61,23.26,51.00,0.38,0.09,0.07,43.00
G44,1000.00,10990.00,10.99,32.00,0.58,21.74,50.00,0.43,0.08,0.07,46.00
G45,1000.00,10990.00,10.99,34.00,0.61,25.00,45.00,0.34,0.07,0.07,40.00
G46,1000.00,10990.00,10.99,30.00,0.59,23.81,45.00,0.41,0.08,0.07,42.00
G47,1000.00,10990.00,10.99,32.00,0.59,21.28,46.00,0.41,0.09,0.07,47.00
G48,3000.00,9000.00,3.00,5.00,0.09,27.52,50.00,0.56,0.98,0.30,109.00
G49,3000.00,9000.00,3.00,5.00,0.10,23.26,30.00,0.40,0.99,0.39,129.00
G5,800.00,19976.00,24.97,61.00,0.58,9.41,21.00,0.36,0.18,0.03,85.00
G50,3000.00,9000.00,3.00,5.00,0.10,20.83,25.00,0.34,0.99,0.41,144.00
G51,1000.00,6909.00,6.91,7.00,0.06,28.57,100.00,1.10,0.06,0.16,35.00
G52,1000.00,6916.00,6.92,7.00,0.06,27.78,83.00,0.99,0.06,0.17,36.00
G53,1000.00,6914.00,6.91,7.00,0.06,25.64,102.00,1.15,0.06,0.15,39.00
G54,1000.00,6916.00,6.92,7.00,0.06,25.64,78.00,1.00,0.06,0.18,39.00
G55,5000.00,17498.00,3.50,12.00,0.61,294.12,1000.00,0.96,0.01,0.15,17.00
G56,5000.00,17498.00,3.50,12.00,0.61,294.12,1000.00,0.96,0.01,0.15,17.00
G57,5000.00,15000.00,3.00,5.00,0.08,33.56,50.00,0.49,0.98,0.19,149.00
G58,5000.00,34570.00,6.91,7.00,0.05,108.70,364.00,1.14,0.02,0.19,46.00
G59,5000.00,34570.00,6.91,7.00,0.05,108.70,364.00,1.14,0.02,0.19,46.00
G6,800.00,19976.00,24.97,62.00,0.58,9.52,17.00,0.31,0.17,0.04,84.00
G60,7000.00,24148.00,3.45,15.00,0.62,388.89,1409.00,1.04,0.00,0.16,18.00
G61,7000.00,24148.00,3.45,15.00,0.62,388.89,1409.00,1.04,0.00,0.16,18.00
G62,7000.00,21000.00,3.00,5.00,0.07,41.42,70.00,0.54,0.99,0.24,169.00
G63,7000.00,48459.00,6.92,7.00,0.04,140.00,568.00,1.34,0.01,0.18,50.00
G64,7000.00,48459.00,6.92,7.00,0.04,140.00,568.00,1.34,0.01,0.18,50.00
G65,8000.00,24000.00,3.00,5.00,0.07,44.69,80.00,0.56,0.99,0.26,179.00
G66,9000.00,27000.00,3.00,5.00,0.07,47.62,90.00,0.57,0.99,0.30,189.00
G67,10000.00,30000.00,3.00,5.00,0.07,50.25,100.00,0.57,0.99,0.29,199.00
G7,800.00,19976.00,24.97,64.00,0.58,8.89,16.00,0.37,0.18,0.04,90.00
G8,800.00,19976.00,24.97,64.00,0.58,9.64,21.00,0.38,0.18,0.04,83.00
G9,800.00,19976.00,24.97,76.00,0.58,9.20,15.00,0.31,0.19,0.04,87.00
GD00_a,352.00,434.00,1.23,2.00,0.34,88.00,270.00,1.22,0.02,0.22,4.00
GD01_b,18.00,31.00,1.72,3.00,0.50,6.00,10.00,0.54,0.23,0.11,3.00
GD01_c,33.00,33.00,1.00,1.00,0.00,33.00,33.00,0.00,0.00,0.00,1.00
GD02_a,23.00,65.00,2.83,9.00,0.76,2.56,7.00,0.74,0.29,0.17,9.00
GD02_b,80.00,209.00,2.61,6.00,0.62,4.71,22.00,1.11,0.45,0.20,17.00
GD06_theory,101.00,291.00,2.88,19.00,1.08,5.05,18.00,1.12,0.31,0.13,20.00
GD95_b,73.00,91.00,1.25,6.00,0.59,24.33,62.00,1.10,0.05,0.04,3.00
GD95_c,62.00,206.00,3.32,7.00,0.35,4.43,8.00,0.45,0.80,0.15,14.00
GD96_c,65.00,190.00,2.92,7.00,0.48,9.29,16.00,0.52,0.17,0.10,7.00
GD97_a,84.00,250.00,2.98,5.00,0.48,10.50,19.00,0.57,0.14,0.13,8.00
GD97_b,47.00,179.00,3.81,4.00,0.18,2.61,11.00,1.06,0.65,0.12,18.00
GD97_c,452.00,453.00,1.00,2.00,0.05,226.00,451.00,1.00,0.00,0.01,2.00
GD98_c,112.00,280.00,2.50,4.00,0.48,16.00,34.00,0.83,0.09,0.10,7.00
GD99_b,64.00,189.00,2.95,4.00,0.37,3.37,12.00,0.95,0.58,0.19,19.00
GL6_D_10,163.00,396.00,2.43,10.00,0.71,13.58,72.00,1.32,0.11,0.28,12.00
GL6_D_7,636.00,4349.00,6.84,16.00,0.41,20.52,63.00,0.85,0.07,0.09,31.00
GL6_D_8,544.00,3227.00,5.93,15.00,0.47,13.60,30.00,0.64,0.12,0.08,40.00
GL6_D_9,340.00,1276.00,3.75,11.00,0.59,8.10,65.00,1.18,0.17,0.24,42.00
GL7d10,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
GL7d17,1548650.00,25719444.00,16.61,70.00,0.19,13236.33,133898.00,1.83,0.00,0.06,117.00
GL7d18,1955309.00,31460974.00,16.09,74.00,0.25,12297.54,80873.00,1.16,0.00,0.04,159.00
GL7d19,1911130.00,22689556.00,11.87,104.00,0.30,9414.43,19940.00,0.76,0.00,0.04,203.00
GL7d20,1437547.00,10601267.00,7.37,319.00,0.61,9914.12,29692.00,0.95,0.00,0.09,145.00
GL7d21,822922.00,4156287.00,5.05,319.00,1.13,7989.53,49255.00,1.22,0.00,0.18,103.00
GL7d22,349443.00,1332516.00,3.81,317.00,1.81,4853.38,63978.00,1.71,0.00,0.35,72.00
GL7d23,105054.00,334410.00,3.18,312.00,2.45,2501.29,44979.00,2.74,0.00,0.47,42.00
GL7d24,21074.00,58920.00,2.80,236.00,2.79,1170.78,14533.00,2.83,0.00,0.29,18.00
GL7d25,2798.00,6613.00,2.36,160.00,2.64,310.89,2277.00,2.25,0.01,0.13,9.00
GL7d26,305.00,592.00,1.94,32.00,1.60,61.00,247.00,1.54,0.02,0.09,5.00
GT01R,7980.00,220214.00,27.60,80.00,0.31,14.25,25.00,0.46,0.98,0.32,560.00
G_n_pin_pout,100000.00,601198.00,6.01,23.00,0.51,150.38,3976.00,1.17,0.06,0.15,665.00
Ga10As10H30,113081.00,3114357.00,27.54,469.00,1.73,1.02,319.00,0.97,0.99,0.00,110435.00
Ga19As19H42,133123.00,4508981.00,33.87,470.00,1.77,1.02,352.00,0.99,0.99,0.00,130103.00
Ga3As3H12,61349.00,3016148.00,49.16,1150.00,2.65,1.03,217.00,0.90,0.99,0.01,59529.00
Ga41As41H72,268096.00,9378286.00,34.98,472.00,1.74,1.02,552.00,1.09,0.99,0.00,263186.00
GaAsH6,61349.00,1721579.00,28.06,1022.00,2.78,1.03,217.00,0.90,0.99,0.01,59529.00
Ge87H76,112985.00,4002590.00,35.43,346.00,1.43,1.02,313.00,0.96,0.99,0.00,110347.00
Ge99H100,112985.00,4282190.00,37.90,346.00,1.41,1.02,313.00,0.96,0.99,0.00,110347.00
Geo_1438,1437960.00,32297324.00,22.46,48.00,0.20,246.94,713.00,0.94,0.88,0.09,5823.00
GlossGT,72.00,121.00,1.68,5.00,0.52,18.00,38.00,0.74,0.07,0.13,4.00
H2O,67024.00,1141880.00,17.04,19.00,0.16,1.02,14.00,0.16,0.99,0.00,65795.00
HEP-th-new,27770.00,276103.00,9.94,563.00,1.27,151.75,4422.00,2.70,0.01,0.33,183.00
HFE18_96_in,2372.00,44662.00,18.83,360.00,2.94,14.73,1931.00,10.29,0.09,0.00,161.00
HTC_336_4438,226340.00,565431.00,2.50,25.00,1.19,37723.33,94693.00,1.08,0.00,0.00,6.00
HTC_336_9129,226340.00,554881.00,2.45,25.00,1.16,37723.33,94693.00,1.08,0.00,0.00,6.00
HV15R,2017169.00,141718464.00,70.26,432.00,0.48,51.43,24513.00,2.79,0.90,0.18,39221.00
Hamrle1,32.00,63.00,1.97,4.00,0.52,8.00,15.00,0.55,0.13,0.07,4.00
Hamrle2,5952.00,11771.00,1.98,4.00,0.54,744.00,3038.00,1.38,0.00,0.02,8.00
Hamrle3,1447360.00,3032733.00,2.10,5.00,0.59,111335.38,746718.00,1.89,0.00,0.02,13.00
Harvard500,500.00,1795.00,3.59,29.00,0.99,26.32,203.00,1.93,0.18,0.19,19.00
Hook_1498,1498023.00,31207734.00,20.83,57.00,0.27,95.92,346.00,0.91,0.88,0.04,15618.00
IG5-10,652.00,652.00,1.00,1.00,0.00,652.00,652.00,0.00,0.00,0.00,1.00
IG5-11,1227.00,1227.00,1.00,1.00,0.00,1227.00,1227.00,0.00,0.00,0.00,1.00
IG5-12,2296.00,2296.00,1.00,1.00,0.00,2296.00,2296.00,0.00,0.00,0.00,1.00
IG5-13,3994.00,3994.00,1.00,1.00,0.00,3994.00,3994.00,0.00,0.00,0.00,1.00
IG5-14,6735.00,6735.00,1.00,1.00,0.00,6735.00,6735.00,0.00,0.00,0.00,1.00
IG5-15,11369.00,11369.00,1.00,1.00,0.00,11369.00,11369.00,0.00,0.00,0.00,1.00
IG5-16,18846.00,30875.00,1.64,59.00,2.17,369.53,17650.00,6.61,0.00,0.00,51.00
IG5-17,30162.00,105910.00,3.51,117.00,2.55,520.03,25325.00,6.32,0.00,0.00,58.00
IG5-18,47894.00,307035.00,6.41,121.00,2.37,405.88,36577.00,8.25,0.00,0.00,118.00
IG5-6,30.00,30.00,1.00,1.00,0.00,30.00,30.00,0.00,0.00,0.00,1.00
IG5-7,62.00,62.00,1.00,1.00,0.00,62.00,62.00,0.00,0.00,0.00,1.00
IG5-8,156.00,156.00,1.00,1.00,0.00,156.00,156.00,0.00,0.00,0.00,1.00
IG5-9,342.00,342.00,1.00,1.00,0.00,342.00,342.00,0.00,0.00,0.00,1.00
IMDB,428440.00,1272922.00,2.97,559.00,1.62,25202.35,222910.00,2.10,0.00,0.19,17.00
Ill_Stokes,20896.00,109361.00,5.23,13.00,0.82,1393.07,2934.00,0.83,0.03,0.28,15.00
JP,87616.00,7797792.00,89.00,391.00,0.97,407.52,25930.00,4.41,0.00,0.05,215.00
Journals,124.00,6096.00,49.16,121.00,0.64,1.22,8.00,0.68,0.86,0.00,102.00
Kaufhold,8765.00,25618.00,2.92,9.00,0.37,31.30,693.00,1.43,0.16,0.20,280.00
Kohonen,4470.00,4597.00,1.03,11.00,0.25,1490.00,4373.00,1.37,0.01,0.03,3.00
Kuu,7102.00,173651.00,24.45,64.00,0.47,17.15,34.00,0.54,0.99,0.26,414.00
L,956.00,2776.00,2.90,5.00,0.45,119.50,342.00,0.89,0.40,0.35,8.00
L-9,17983.00,53579.00,2.98,3.00,0.05,48.73,90.00,0.56,0.99,0.22,369.00
LF10,18.00,50.00,2.78,3.00,0.19,1.80,2.00,0.22,0.72,0.00,10.00
LF10000,19998.00,59990.00,3.00,3.00,0.01,2.00,2.00,0.01,0.75,0.00,10000.00
LFAT5,14.00,30.00,2.14,3.00,0.35,2.80,4.00,0.42,0.27,0.00,5.00
LFAT5000,19994.00,49980.00,2.50,3.00,0.20,4.00,4.00,0.01,0.27,0.00,5000.00
LeGresley_2508,2508.00,8868.00,3.54,20.00,0.75,41.80,551.00,1.67,0.23,0.43,60.00
LeGresley_4908,4908.00,17456.00,3.56,26.00,0.63,258.32,639.00,0.84,0.11,0.27,19.00
LeGresley_87936,87936.00,337449.00,3.84,42.00,0.67,1542.74,14023.00,1.99,0.23,0.34,57.00
Lederberg,8843.00,9366.00,1.06,11.00,0.31,1768.60,8442.00,1.89,0.01,0.06,5.00
Lin,256000.00,1011200.00,3.95,4.00,0.06,1292.93,2800.00,0.75,0.99,0.40,198.00
Long_Coup_dt0,1470152.00,44279572.00,30.12,172.00,0.24,200.08,451.00,0.53,0.90,0.07,7348.00
Long_Coup_dt6,1470152.00,44279572.00,30.12,172.00,0.24,200.08,451.00,0.53,0.90,0.07,7348.00
M10PI_n,682.00,1371.00,2.01,9.00,0.36,29.65,79.00,0.49,0.78,0.38,23.00
M10PI_n1,528.00,1061.00,2.01,8.00,0.24,8.80,28.00,0.97,0.90,0.40,60.00
M20PI_n,1182.00,2380.00,2.01,13.00,0.32,27.49,79.00,0.40,0.87,0.41,43.00
M20PI_n1,1028.00,2061.00,2.00,8.00,0.17,8.57,28.00,0.98,0.95,0.43,120.00
M40PI_n,2182.00,4380.00,2.01,13.00,0.23,26.29,79.00,0.30,0.93,0.43,83.00
M40PI_n1,2028.00,4061.00,2.00,8.00,0.12,8.45,28.00,0.99,0.97,0.44,240.00
M6,3501776.00,14003712.00,4.00,11.00,0.44,1576.67,355815.00,12.67,0.47,0.21,2221.00
M80PI_n,4182.00,8380.00,2.00,13.00,0.17,25.66,79.00,0.22,0.96,0.44,163.00
M80PI_n1,4028.00,8061.00,2.00,8.00,0.09,8.39,28.00,1.00,0.99,0.45,480.00
MISKnowledgeMap,2427.00,30938.00,12.75,58.00,0.75,32.36,63.00,0.44,0.06,0.17,75.00
ML_Geer,1504002.00,56191988.00,37.36,46.00,0.13,88.74,145.00,0.43,1.00,0.06,16948.00
ML_Laplace,377002.00,14033487.00,37.22,46.00,0.14,44.63,74.00,0.42,1.00,0.06,8448.00
Maragal_1,32.00,233.00,7.28,15.00,0.58,2.67,10.00,1.09,0.44,0.14,12.00
Maragal_2,555.00,3519.00,6.34,70.00,1.16,42.69,118.00,0.81,0.04,0.33,13.00
Maragal_3,1690.00,13275.00,7.86,299.00,2.14,76.82,230.00,0.78,0.02,0.35,22.00
Maragal_4,1964.00,16520.00,8.41,587.00,2.64,54.56,146.00,0.75,0.03,0.33,36.00
Maragal_5,4654.00,41509.00,8.92,1461.00,3.87,129.28,384.00,0.77,0.02,0.34,36.00
Maragal_6,21255.00,210281.00,9.89,5148.00,7.28,269.05,890.00,0.88,0.01,0.39,79.00
